name,address
Stone towers,"Бумажный проезд, 19, Москва"
Порта,"ЖК Западный порт, Большая Филёвская улица, 3 ст6, Москва"
Прокшино,"35-й квартал, 10, д. Николо-Хованское, Москва"
Потапово,"Бумажный проезд, 19, Москва"
Мануфактура XIX,"Улица Петра Алексеева, 12 ст1, Москва"
Неглинная,"Трубная площадь, 2, Москва"
Преображенский,"Улица Электрозаводская, 24, Москва"
М-Стиль офис,"3-й Павловский переулок, 1 к57 ст3, Москва"
Красный Пролетарий,"Краснопролетарская улица, 16 ст1, Москва"
Центр международной торговли,"Краснопресненская набережная, 12, Москва"
Башня Федерация,"Пресненская набережная, 12, Москва"
Хлебозавод №9,"Новодмитровская улица, 1 ст1, Москва"
Холидей Инн Москва Сокольники,"Русаковская улица, 24, Москва"
Империя,"Пресненская набережная, 6 ст2, Москва"
Neva towers,"1-й Красногвардейский проезд, 22 ст1, Москва"
Город столиц,"Пресненская набережная, 8 ст1, Москва"
Оружейный,"Оружейный переулок, 41, Москва"
Башня на Набережной,"Пресненская набережная, 10, Москва"
Монарх,"Ленинградский проспект, 31а, Москва"
Омега Плаза,"Улица Ленинская Слобода, 19, Москва"
Смоленский пассаж,"Смоленская площадь, 3, Москва"
Око,"1-й Красногвардейский проезд, 21 ст1, Москва"
ВЭБ Центр,"Новинский бульвар, 31, Москва"
Golden gate,"Бульвар Энтузиастов, 2, Москва"
Аркадия,"Большой Овчинниковский переулок, 16, Москва"
Парк Легенд,"Парк легенд, Автозаводская улица, 23а к2, Москва"
Summit,"Тверская улица, 22, Москва"
Никольская Плаза,"Никольская улица, 10, Москва"
Lotte plaza,"Новинский бульвар, 8, Москва"
Аврора,"Садовническая улица, 82 ст2, Москва"
IQ-квартал,"Пресненская набережная, 10 ст2, Москва"
Арма,"Нижний Сусальный переулок, 5 ст13, Москва"
Станколит,"Складочная улица, 1 ст1, Москва"
Обновление Арбата,"Улица Новый Арбат, 21, Москва"
iCity,"Улица Ермакова Роща, 1 ст1, Москва"
Суперметалл,"2-я Бауманская улица, 9/23 ст3, Москва"
Сытинъ,"Пятницкая улица, 71/5 ст2, Москва"
Легион,"Улица Большая Ордынка, 40 ст4, Москва"
Амбер плаза,"Краснопролетарская улица, 36, Москва"
Ситидел,"Улица Земляной Вал, 9, Москва"
Пекин,"Большая Садовая улица, 5, Москва"
Меркурий Сити,"1-й Красногвардейский проезд, 15, Москва"
Молодая Гвардия,"Сущёвская улица, 21, Москва"
Панорама,"Улица Мастеркова, 4, Москва"
ВТБ,"Пресненская набережная, 10 ст1, Москва"
Морозов,"ДК Красная роза, улица Льва Толстого, 16, Москва"
Савеловский сити,"МФК Савеловский Сити, Новодмитровская улица, 2 к1, Москва"
Фили град,"ЖК Фили Град, Береговой проезд, 5а к1, Москва"
Искра-парк,"Ленинградский проспект, 35 ст1, Москва"
Легенда Цветного,"Цветной бульвар, 2, Москва"
Конвент-плюс,"Багратионовский проезд, 7 к20в, Москва"
Олимпик Холл,"Олимпийский проспект, 16 ст5, Москва"
Северная башня,"Тестовская улица, 10, Москва"
Столешники,"Переулок Столешников, 11, Москва"
Воздвиженка центр,"Улица Воздвиженка, 10, Москва"
Оазис,"Улица Коровий Вал, 5, Москва"
Таганский пассаж,"Таганская улица, 3, Москва"
Dm Tower,"Новоданиловская набережная, 12, Москва"
Смоленский пассаж 2,"Смоленская площадь, 5, Москва"
Gardenmir,"Проспект Мира, 40, Москва"
