lat,lon,name,category
55.7540334,37.7144778,Префектура ЮВАО г. Москвы,Офис
55.7790193,37.6017619,Московская Страховая Компания,Офис
55.7792066,37.6028396,Информстрах,Офис
55.7649729,37.6674539,посольство Эквадора,Офис
55.7468162,37.6471187,Центральная акцизная таможня,Офис
55.6849347,37.6017312,Политехнический колледж 39,Университет
55.7194921,37.5197423,Посольство Ливии,Офис
55.7185857,37.5142277,Посольство Объединенных Арабских Эмиратов,Офис
55.7200775,37.5188446,Посольство Кувейта,Офис
55.7525862,37.6424555,Посольство Австралии,Офис
55.7429332,37.5904418,Консульство Австрии,Офис
55.7696838,37.6058863,Посольство Словении,Офис
55.7669296,37.6164169,Посольство Алжира,Офис
55.7754321,37.622791,Посольство Венесуэлы,Офис
55.7582251,37.6380818,Посольство Беларуси,Офис
55.7638167,37.6417137,Посольство Республики Казахстан,Офис
55.7652039,37.6410307,Посольство Швейцарии,Офис
55.7378714,37.593152,посольство Ливана,Офис
55.7194303,37.5124425,Посольство Анголы,Офис
55.7415448,37.5662172,Посольство Брунея,Офис
55.7761763,37.6480193,посольство Алжира (консульский отдел),Офис
55.7326469,37.6212885,Посольство Узбекистана,Офис
55.7337798,37.6236567,Посольство Израиля,Офис
55.7216968,37.6544792,МОФОМС,Офис
55.7557724,37.6969041,МГВМИ,Университет
55.7508393,37.7081449,управление Госрадиокомплект,Офис
55.8037876,37.5285776,Ассоциация международных автомобильных перевозчиков,Офис
55.7640154,37.6168294,Международная организация труда (МОТ) в РФ,Офис
55.7592077,37.6025124,Офис Старшего советника по правам человекапри системе ООН в Российской Федерации,Офис
55.7385638,37.5454036,Без названия,Офис
55.7414437,37.60629,Посольство Южной Осетии,Офис
55.7437458,37.5874667,посольство Чили,Офис
55.7848181,37.6273619,Московский областной медицинский колледж,Университет
55.7317935,37.5486456,Согласие,Офис
55.8151108,37.6493475,Институт туризма и гостеприимства,Университет
55.7646985,37.5951558,Производственно Коммерческая Дирекция,Офис
55.7697327,37.5931612,НИ и ПИ Генплана Москвы,Офис
55.7701575,37.5928487,Моспроект,Офис
55.7713139,37.5906239,Мосгосэкспертиза,Офис
55.7694219,37.5938188,Комитет по архитектуре и градостроительству Москвы,Офис
