name,kind
Московский государственный университет имени М.В. Ломоносова,Университет
Финансовый университет при Правительстве РФ,Университет
Московский городской педагогический университет,Университет
Московский педагогический государственный университет,Университет
Российский государственный социальный университет,Университет
Российская академия народного хозяйства и государственной службы при Президенте РФ,Академия
Московский политехнический университет,Университет
Первый Московский государственный медицинский университет имени И.М. Сеченова,Университет
Национальный исследовательский университет «Высшая школа экономики»,Университет
Московский финансово-промышленный университет «Синергия»,Университет
Российский университет дружбы народов,Университет
Российский государственный гуманитарный университет,Университет
Академия акварели и изящных искусств Сергея Андрияки,Академия
Академия Государственной противопожарной службы МЧС России,Академия
"Академия гражданской защиты Министерства Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий",Академия
Академия хорового искусства имени В.С. Попова,Академия
Всероссийская академия внешней торговли,Академия
Всероссийский государственный университет кинематографии имени С.А. Герасимова,Университет
